Prendre en compte	game	platforms	editor	developer	gender	Type	Multijoueur	Date
1	Fringe Wars	PS4, Xbox One, PC	Oasis Games	OASIS GAMES / Thinking Stars	Autre	Massivement multijoueur / Action / Science-fiction / jeu de tir	yes	2019 (actuellement en version alpha)
1	Gal Metal †	Nintendo Switch	DMM Games	DMM Games	M	Musique	yes	02/11/2018 (en France, dévoilé au Tokyo Game Show en 2017)
1	Galak-Z: Variant S †	Nintendo Switch	GungHo Online Entertainment	17-BIT	M	Shoot'em up / action / space / rpg / rogue-like	no	28/06/2018
1	Gears 5	Xbox One, PC	Microsoft Studios	The Coalition	F	jeu de tir à la troisième personne / action		Fin 2019
1	Generation Zero	Xbox One, PC, PS4	THQ Nordic	Avalanche Studios	Multi	action / survie	yes	26/03/2019
1	Ghost of Tsushima	PS4	Sony Interactive Entertainment	Sucker Punch Productions	M	action / aventure / infiltration		Non dévoilée
1	Ghost Giant †	PS4 VR	Zoink	Zoink	Autre	aventure / Énigme / Famille / battle royale / puzzle	no	16/04/2019
1	The Golf Club 2019 †	Xbox One, PS4, PC	HB Studios	HB Studios	Multi	sport	yes	28/08/2019
1	GreedFall †	PC, Xbox One, PS4	Focus Home Interactive	Spiders	Multi	rpg / action / fantastique	no	2019
1	Gungrave VR †	PS4 VR	Marvelous	Iggymob	M	Action / Beat'em All / tir / FPS et TPS 	no	14/12/2017  (au Japon, 07/12/2018 en France
1	Harold Halibut	PC, PS4, Xbox One, Switch	Curve Digitql	Slow Bros.	M	narratif / puzzle / aventure / exploration	no	2019
1	Heavy Fire: Red Shadow	PS4, PSVR, Xbox One, PC	Mastiff	Mastiff	M	tir / première personne / fps / action / militaire / arcade / on rails	no	16/10/2018
1	Hitman 2	PS4, Xbox One, PC	Warner Bros. Interactive	Io Interactive	M	infiltration /action	yes	13/11/2018
1	Home Sweet Home	PC, Xbox One, PS4	Yggdrazil Group	Yggdrazil Group	M	horreur / à la première personne	no	27/09/2017
1	Insurgency: Sandstorm †	Xbox One, PS4, PC	Focus Home Interactive	New World Interactive	Multi	tir / FPS	yes	31/12/2019
1	Islands of Nyne: Battle Royale	Xbox One, PC, PS4	Define Human Studios	Define Human Studios	M	fps / tir / science-fiction / action / battle royale / survie	yes	12/07/2018
1	Just Cause 4	PS4, Xbox One, PC	Square Enix	Avalanche Studios	M	action / aventure /  GTA-like	no	04/12/2018
1	Just Dance 2019	PS4, Xbox One, Switch	Ubisoft	Ubisoft	Multi	musique / danse	yes	23/10/2018
