to_keep	game	platforms	editor	developer	gender	type	year
1	Sumer 	PC	Studio Wumpus	Studio Wumpus	multi	Stratégie / société / historique / plateformes / stratégie / mythologie	2017
1	Super Hot VR	PSVR	SUPERHOT Team	SUPERHOT Team	other	Action / tir / fps / 1re personne	2017
1	Super Lucky's Tail	Xbox One	Microsoft Studios	Playful Corp.	m	Plate-Forme / Aventure / action 	2017
1	Surviving Mars	Xbox One	Paradox Interactive	Haemimont Games	other	Stratégie / construction / survie / espace / simulation / scoe,ce-fiction / gestion / futur / monde ouvert	2017
1	Sushi Striker: The Way of the Sushido	3DS	Nintendo	Indies 0	multi	action / cuisine 	2017
1	Sundered 	PS4, PC	Thunder Lotus Games	Thunder Lotus Games	f	survie / horreur / plateformes / metroidvania / action / aventure / exploration 	2017
1	Super Mario Odyssey 	Switch	Nintendo	Nintendo EPD Tokyo	m	Plate-Forme / action /aventure	2017
1	Tacoma	Xbox One, PC	Fullbright	Fullbright	f	Aventure / histoire / Science-fiction / espace /  1re personne / exploration / ambiance / mystère / futuriste / horreur	2017
1	The Artful Escape	Xbox One	Annapurna Interactive	Beethoven & Dinosaur	m	aventure / science-fiction / plateformes / narratif	2017
1	The Crew 2	Xbox One, PS4, PC	Ubisoft	Ivory Tower	multi	voiture / course / Monde ouvert / action / vol / arcade / simulation / 1re personne / 3e personne / aventure / sport 	2017
1	The Escapists 2	PS4, Switch, Xbox One, PC	Team17	Mouldy Toof Studios	multi	gestion / simulation / stratégie	2017
1	The Evil Within 2	PS4, Xbox One, PC	Bethesda Softworks	Tango Gameworks	m	action / aventure / survie / horreur	2017
1	The Inpatient	PS4	Sony Interactive Entertainment	Supermassive Games	multi	action / survie / horreur	2017
1	The King's Bird	TBA	Graffity Games	Serenity Forge	f	action / plateformes / narratif	2017
1	The Last Night	PC, Xbox One	Raw Fury	Odd Tales	m	Cyberpunk / aventure / action / science-fiction / narratif / violence 	2017
1	The Swords of Ditto 	PS4, PC	Devolver digital	Onebitbeyond	multi	Aventure / rpg / action / Rogue-like 	2017
1	Total War: Arena	PC	Wargaming Alliance	Creative Assembly	multi	tactique / gestion / stratégie	2017
1	Total War: Warhammer II	PC	Sega	Creative Assembly	other	action / statégie / fantasy / action / guerre / tactique / histoire / narratif / adultes / gestion	2017
1	Transference	PS4, Xbox One, PC		Ubisoft, SpectreVision, Ubisoft Montréal	other	action / aventure /  Escape Room / Horreur	2017
1	Tropico 6	PC, PS4, Xbox One	Kalypso Media	Kalypso Media	multi	gestion / stratégie	2017
1	Tunic	PC, Xbox One	Finji	Andrew Shouldice	other	action / aventure / Mignon / Isométrique / Mystère / Familial / Violence /Guerre	2017
1	Uncharted: The Lost Legacy	PS4	Sony Interactive Entertainment	Naughty Dog	f	action / aventure / tps	2017
1	Undertale	PS4, Vita, PC	Toby Fox	Toby Fox	other	narratif / humour / rpg / horreur 	2017
1	Unruly Heroes	Xbox One	Magic Design Studios	Magic Design Studios	other	plateformes / Aventure / action / casse-tête 	2017
