to_keep	game	platforms	editor	developer	gender	Source explication	Source nom	Source lien	Autre source	Autre source	type	Multijoueur	Date de sortie	Annoncé en
0 (2014, missing)	Guilty Gear XRD - Revelator	PS4, PS3	Sega	Arc System Works										
1	Gwent: The Witcher Card Game	Xbox One, PC, PS4	CD Projekt	CD Projekt	Multi (choix)	Chaque faction a un leader. Plusieurs leader possible.	Jeuxvideo.com	http://www.jeuxvideo.com/preview/502066/gwent-the-witcher-card-game-e3-2016.htm	https://gwent.gamepedia.com/Leader	https://www.playgwent.com/fr/join?utm_expid=.NeXmCO8iT2u4maVMNwCZTg.0&utm_referrer=https%3A%2F%2Fwww.playgwent.com%2Ffr	cartes	yes	23/10/2018	
1	Halo Wars 2	Xbox One, PC	Microsoft Studios	343 Industries, Creative Assembly	Multi (choix)	Le joueur a le choix entre plusieurs leaders de différents genres, même si le plus mis en valeur est masculin.	billboard	https://www.billboard.com/articles/news/8458796/gordy-haab-star-wars-composer-john-williams-games	https://www.youtube.com/watch?v=kGrWadFT4Ng	http://www.jeuxvideo.com/test/606679/halo-wars-2-un-jeu-de-strategie-fidele-efficace-mais-academique.htm	stratégie / extra-terrestre	yes	21/02/2017	
1	Harmonix Music VR†	PSVR	Harmonix	Harmonix	n/a	Jeu de musique, pas de personnage incarné.	Harmonix Music VR - E3 Trailer | PSVR (Youtube)	https://www.youtube.com/watch?v=JLcJmSKnUnw	https://fr.ign.com/harmonix-music-vr/18862/review/test-harmonix-music-vr	https://www.playstation.com/en-us/games/harmonix-music-vr-ps4/	musique / rythme		13/10/2016	
1	Harvest Moon: Skytree Village†	3DS	Natsume	Natsume	Multi (choix)	Le joueur peut choisir le genre de son personnage.	Nintendo	https://www.nintendo.com/fr_CA/games/detail/harvest-moon-skytree-village-3ds/	https://www.gamecrate.com/preview-you-probably-already-know-if-youre-going-play-harvest-moon-skytree-village/13986	http://www.gamelove.com/news-actu/harvest-moon-skytree-village-s-annonce-sur-3ds-144693	Jeu de rôles, Simulation, Stratégie, Aventure	no	08/11/2016	
1	Headlander†	PC, PS4	Adult Swim Games	Double Fine Productions	Multi (choix)	Le joueur choisit le genre de la "tête" qu'il veut incarner.	Graal	http://www.graal.fr/2017/09/05/test-headlander-la-version-pour-steam/	http://www.gameblog.fr/tests/2497-headlander-ps4	https://www.gamekult.com/jeux/headlander-3050595929/test.html	action / science-fiction / metroidvania / plateformes / comédie / rétro	no	26/07/2016	
0 (2015, missing)	Headmaster†	PSVR		Frame Interactive Studio LLC								yes		E3 2015
1	Hitman†	PS4, PC, Xbox One	Square Enix	IO Interactive	M	Le joueur incarne un tueur à gages.	Jeuxvideo.com	http://www.jeuxvideo.com/jeux/playstation-4-ps4/00046928-hitman-6.htm#details	https://www.gamekult.com/jeux/hitman-3050217296/test.html	http://www.gameblog.fr/tests/2398-hitman-xb1-pc-ps4	action / infiltration / 3e personne / tactique / tir / monde ouvert / stratégie / narratif / aventure	no	31/01/2017	
0 (2015)	Horizon: Zero Dawn	PS4	Sony Interactive Entertainment	Guerrilla Games	F	Le joueur incarne un personnage féminin, Aloy.	Gamekult	https://www.gamekult.com/jeux/horizon-zero-dawn-3050484941/test.html	https://www.guerrilla-games.com/play/horizon	http://www.jeuxvideo.com/jeux/ps4/jeu-429585/#details	action / infiltration /rpg / Post-apocalyptique	no	28/02/2017	
1	How We Soar	PSVR	Penny Black Studios	Penny Black Studios	F	Le joueur incarne Lily	Playstation	https://blog.es.playstation.com/2016/11/29/how-we-soar-echa-a-volar-hoy-exclusivamente-para-playstation-vr/	https://jeu.video/realite-augmentee/how-we-soar/how-we-soar-vr-experience-de-vol-inattendue	https://www.vrplayer.fr/fiche/how-we-soar/	aventure / action	no	29/11/2016	
